date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2012-06-11,sh.600048,124.3492525000,129.7754017000,123.8970734000,127.2431987400,123.2640226600,36146545,506682798.0000,1,0.618606,1,3.228200,13.147092,2.338169,1.731017,37.799538,0
2012-06-12,sh.600048,127.0623271000,132.4884763000,126.2484047200,132.3076046600,127.2431987400,44441380,640421901.0000,1,0.760562,1,3.980100,13.670359,2.431230,1.799913,39.303997,0
2012-06-13,sh.600048,132.1267330200,132.9406554000,131.1319390000,131.9458613800,132.3076046600,40838060,595805754.0000,1,0.698895,1,-0.273400,13.632983,2.424583,1.794992,39.196536,0
2012-06-14,sh.600048,132.0362972000,134.7493718000,131.8554255600,133.0310912200,131.9458613800,27639655,405990676.0000,1,0.473020,1,0.822500,13.745111,2.444525,1.809756,39.518920,0
2012-06-15,sh.600048,133.8450136000,133.8450136000,125.7057898000,129.9562733400,133.0310912200,55618162,794625591.0000,1,0.951839,1,-2.311400,13.427413,2.388023,1.767926,38.605498,0
2012-06-18,sh.600048,131.1677360400,132.3791928800,129.4056170000,132.0487955600,129.9562792000,23302782,276526744.0000,1,0.332333,1,1.610200,13.444233,2.391014,1.770140,38.653856,0
2012-06-19,sh.600048,131.1677360400,131.4981333600,128.9650872400,129.1853521200,132.0487955600,34207903,404193118.0000,1,0.487857,1,-2.168500,13.152698,2.339166,1.731755,37.815657,0
2012-06-20,sh.600048,129.5157494400,130.2866765200,125.1104518400,127.0928357600,129.1853521200,36424737,420596419.0000,1,0.519472,1,-1.619800,12.939653,2.301277,1.703705,37.203127,0
2012-06-21,sh.600048,126.8725708800,128.6346899200,124.4496572000,126.6523060000,127.0928357600,43644380,502842068.0000,1,0.622435,1,-0.346600,12.894802,2.293300,1.697799,37.074174,0
2012-06-25,sh.600048,126.2117762400,127.6434979600,120.2646244800,120.4848893600,126.6523060000,50054437,556740614.0000,1,0.713852,1,-4.869600,12.266881,2.181626,1.615124,35.268823,0
2012-06-26,sh.600048,120.0443596000,124.1192598800,119.8240947200,123.7888625600,120.4848893600,51872677,576633182.0000,1,0.739783,1,2.742200,12.603267,2.241451,1.659414,36.235975,0
2012-06-27,sh.600048,122.4672732800,128.3042926000,121.9166110800,125.7712464800,123.7888625600,36074510,412940638.0000,1,0.514477,1,1.601400,12.805099,2.277347,1.685989,36.816266,0
2012-06-28,sh.600048,126.2117762400,127.9738952800,124.1192598800,124.4496572000,125.7712464800,19205822,219089467.0000,1,0.273904,1,-1.050800,12.670545,2.253417,1.668272,36.429406,0
2012-06-29,sh.600048,124.2293923200,126.2117762400,122.3571408400,124.8901869600,124.4496572000,32661283,367339417.0000,1,0.465800,1,0.354000,12.715396,2.261393,1.674178,36.558359,0
2012-07-02,sh.600048,126.6523060000,128.7448223600,124.1192598800,127.7536304000,124.8901869600,29689785,342694635.0000,1,0.423421,1,2.292800,13.006931,2.313242,1.712563,37.396558,0
2012-07-03,sh.600048,127.6434979600,132.9298550800,126.7624384400,131.8285306800,127.7536304000,53044964,632654292.0000,1,0.756502,1,3.189700,13.421807,2.387026,1.767188,38.589379,0
2012-07-04,sh.600048,132.3791928800,133.2602524000,129.9562792000,132.0487955600,131.8285306800,20129398,240531419.0000,1,0.287076,1,0.167100,13.444233,2.391014,1.770140,38.653856,0
2012-07-05,sh.600048,130.8373387200,134.9122390000,130.3968089600,134.4717092400,132.0487955600,44046360,534873957.0000,1,0.628168,1,1.834900,13.690916,2.434886,1.802620,39.363101,0
2012-07-06,sh.600048,136.7844904800,141.8505827200,136.5642256000,141.1897880800,134.4717092400,78951465,997247561.0000,1,1.125968,1,4.995900,14.374901,2.556531,1.892677,41.329644,0
