date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2012-06-11,sh.600348,97.9263860400,100.9403805000,97.3008400200,100.3148344800,97.1302365600,12044696,210204739.0000,1,0.500819,1,3.278700,14.616011,3.375409,0.785584,14.595090,0
2012-06-12,sh.600348,99.0637424400,99.2343459000,97.4714434800,97.8126504000,100.3148344800,10191784,175932910.0000,1,0.423775,1,-2.494300,14.251439,3.291215,0.765989,14.231040,0
2012-06-13,sh.600348,98.3813286000,98.8931389800,95.5379376000,98.6656677000,97.8126504000,19051543,325504876.0000,1,0.792164,1,0.872100,14.375725,3.319918,0.772670,14.355148,0
2012-06-14,sh.600348,98.0401216800,98.5519320600,95.9928801600,96.5615583600,98.6656677000,13694376,233998212.0000,1,0.569413,1,-2.132600,14.069153,3.249118,0.756192,14.049016,0
2012-06-15,sh.600348,96.9596331000,97.4714434800,94.5711846600,97.1302365600,96.5615583600,12807078,216690218.0000,1,0.532519,1,0.588900,14.152010,3.268253,0.760645,14.131754,0
2012-06-18,sh.600348,97.5283113000,99.0068746200,96.9027652800,97.8126504000,97.1302365600,12546237,216442840.0000,1,0.521673,1,0.702600,14.251439,3.291215,0.765989,14.231040,0
2012-06-19,sh.600348,97.5283113000,97.7557825800,95.5379376000,96.2203514400,97.8126504000,9613431,163010727.0000,1,0.399727,1,-1.627900,14.019439,3.237637,0.753520,13.999372,0
2012-06-20,sh.600348,96.2772192600,98.6656677000,96.1066158000,97.5851791200,96.2203514400,10850811,185821029.0000,1,0.451177,1,1.418400,14.218296,3.283561,0.764208,14.197945,0
2012-06-21,sh.600348,96.5615583600,96.5615583600,92.4102075000,92.8651500600,97.5851791200,19005567,313023036.0000,1,0.790252,1,-4.836800,13.530581,3.124741,0.727245,13.511215,0
2012-06-25,sh.600348,92.0690005800,92.0690005800,85.3017300000,85.6998047400,92.8651500600,23678281,368102779.0000,1,0.984544,1,-7.715900,12.486580,2.883640,0.671131,12.468708,0
2012-06-26,sh.600348,85.3017300000,86.8371611400,84.8467874400,86.6096898600,85.6998047400,13991560,212037039.0000,1,0.581770,1,1.061700,12.619152,2.914256,0.678257,12.601090,0
2012-06-27,sh.600348,86.6096898600,88.6000635600,85.9272760200,86.2684829400,86.6096898600,12771678,195803405.0000,1,0.531047,1,-0.394000,12.569438,2.902775,0.675585,12.551447,0
2012-06-28,sh.600348,86.8940289600,87.5764428000,85.3017300000,85.4154656400,86.2684829400,10087553,153345512.0000,1,0.419441,1,-0.988800,12.445152,2.874073,0.668905,12.427339,0
2012-06-29,sh.600348,84.8467874400,87.4058393400,84.1643736000,87.0077646000,85.4154656400,16422441,248423271.0000,1,0.682846,1,1.864200,12.677152,2.927651,0.681374,12.659007,0
2012-07-02,sh.600348,88.7137992000,90.1354947000,87.0077646000,87.5195749800,87.0077646000,19318774,300171351.0000,1,0.803275,1,0.588200,12.751724,2.944872,0.685382,12.733472,0
2012-07-03,sh.600348,87.7470462600,88.7706670200,86.2116151200,87.8039140800,87.5195749800,13289447,205195169.0000,1,0.552576,1,0.324900,12.793152,2.954440,0.687609,12.774841,0
2012-07-04,sh.600348,89.3018705000,90.0508539300,88.1495883000,88.7833435100,87.8039036400,10379593,160176111.0000,1,0.431584,1,1.115500,12.768295,2.948699,0.686273,12.750019,0
2012-07-05,sh.600348,88.1495883000,88.1495883000,86.1330944500,87.2853766500,88.7833435100,9040721,136359796.0000,1,0.375914,1,-1.687200,12.552866,2.898948,0.674694,12.534899,0
2012-07-06,sh.600348,87.5734472000,90.1660821500,86.1330944500,89.1866422800,87.2853766500,15732748,240140727.0000,1,0.654168,1,2.178200,12.826295,2.962094,0.689390,12.807936,0
2012-07-09,sh.600348,88.4376588500,88.4376588500,84.1166006000,84.2318288200,89.1866422800,18204593,271569341.0000,1,0.756948,1,-5.555600,12.113723,2.797533,0.651091,12.096384,0
2012-07-10,sh.600348,83.5404595000,84.8079699200,83.2523889500,83.9437582700,84.2318288200,9048836,131828557.0000,1,0.376251,1,-0.342000,12.072294,2.787966,0.648864,12.055015,0
2012-07-11,sh.600348,83.5404595000,86.0178662300,83.4252312800,85.1536545800,83.9437582700,9092830,134302762.0000,1,0.378080,1,1.441300,12.246295,2.828149,0.658216,12.228766,0
2012-07-12,sh.600348,84.7503558100,92.7587171000,84.0589864900,90.7998373600,85.1536545800,34515651,536642724.0000,1,1.435162,1,6.630600,13.058295,3.015672,0.701860,13.039604,0
2012-07-13,sh.600348,90.0508539300,92.0673477800,88.9561858400,89.4747128300,90.7998373600,18252058,286045672.0000,1,0.758921,1,-1.459400,12.867724,2.971661,0.691617,12.849306,0
2012-07-16,sh.600348,89.7051692700,90.0508539300,87.4582189800,87.5734472000,89.4747128300,12302424,188783458.0000,1,0.511535,1,-2.124900,12.594295,2.908516,0.676921,12.576268,0
2012-07-17,sh.600348,87.2853766500,90.3965385900,87.1125343200,89.3018705000,87.5734472000,15433115,239113860.0000,1,0.641710,1,1.973700,12.842866,2.965921,0.690281,12.824484,0
2012-07-18,sh.600348,89.0137999500,91.7216631200,88.7257294000,91.5488207900,89.3018705000,18456065,290198304.0000,1,0.767404,1,2.516100,13.166010,3.040547,0.707650,13.147165,0
2012-07-19,sh.600348,91.4335925700,92.4706465500,90.0508539300,90.3965385900,91.5488207900,17048708,270414476.0000,1,0.708886,1,-1.258700,13.000295,3.002277,0.698743,12.981687,0
2012-07-20,sh.600348,90.5117668100,91.0302938000,88.7257294000,89.3594846100,90.3965385900,9249064,144108651.0000,1,0.384576,1,-1.147200,12.851152,2.967834,0.690726,12.832758,0
2012-07-23,sh.600348,88.4952729600,89.0137999500,85.9602521200,86.7092355500,89.3594846100,12323274,186443787.0000,1,0.512402,1,-2.965800,12.470009,2.879813,0.670241,12.452160,0
2012-07-24,sh.600348,85.7297956800,88.6681152900,85.3264969100,87.3429907600,86.7092355500,10090860,153088296.0000,1,0.419578,1,0.730900,12.561152,2.900862,0.675139,12.543173,0
2012-07-25,sh.600348,86.9396919900,88.3800447400,86.4211650000,86.8820778800,87.3429907600,7886014,119573191.0000,1,0.327901,1,-0.527700,12.494866,2.885554,0.671577,12.476982,0
2012-07-26,sh.600348,87.2853766500,89.3018705000,86.9396919900,87.2853766500,86.8820778800,9786045,149453205.0000,1,0.406904,1,0.464200,12.552866,2.898948,0.674694,12.534899,0
2012-07-27,sh.600348,87.8615177500,90.1660821500,87.5158330900,89.1866422800,87.2853766500,13291009,205448964.0000,1,0.552641,1,2.178200,12.826295,2.962094,0.689390,12.807936,0
2012-07-30,sh.600348,89.1290281700,91.1455220200,87.4582189800,88.7257294000,89.1866422800,12048145,187552512.0000,1,0.500962,1,-0.516800,12.760009,2.946786,0.685828,12.741746,0
2012-07-31,sh.600348,88.7257294000,89.0714140600,85.1536545800,86.5940073300,88.7257294000,10301513,154835832.0000,1,0.428337,1,-2.402600,12.453438,2.875986,0.669350,12.435613,0
2012-08-01,sh.600348,85.3264969100,89.7627833800,85.3264969100,89.1290281700,86.5940073300,10040786,154195003.0000,1,0.417496,1,2.927500,12.818009,2.960180,0.688945,12.799663,0
2012-08-02,sh.600348,88.4376588500,89.5899410500,86.9396919900,87.3429907600,89.1290281700,7856369,120002122.0000,1,0.326668,1,-2.003900,12.561152,2.900862,0.675139,12.543173,0
2012-08-03,sh.600348,88.1495883000,89.8780116000,87.6310613100,89.8203974900,87.3429907600,9878401,152345056.0000,1,0.410744,1,2.836400,12.917438,2.983142,0.694289,12.898949,0
2012-08-06,sh.600348,89.5899410500,92.0673477800,89.0137999500,91.4912066800,89.8203974900,17819602,281521745.0000,1,0.740940,1,1.860200,13.157724,3.038634,0.707204,13.138891,0
2012-08-07,sh.600348,91.4912066800,91.4912066800,89.9932398200,91.1455220200,91.4912066800,12689047,200127230.0000,1,0.527611,1,-0.377800,13.108010,3.027153,0.704532,13.089248,0
