date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2012-06-11,sh.601628,18.2165504400,18.4796053200,18.0631017600,18.4138416000,18.0631017600,6241510,104458449.0000,1,0.029973,1,1.941700,29.705789,2.318306,1.258516,-31.707201,0
2012-06-12,sh.601628,18.3042354000,18.5672902800,18.1727079600,18.2823141600,18.4138416000,9606357,161324036.0000,1,0.046132,1,-0.714300,29.493605,2.301747,1.249527,-31.480721,0
2012-06-13,sh.601628,18.3151960200,19.6085491800,18.3151960200,19.5975885600,18.2823141600,27895887,487855985.0000,1,0.133963,1,7.194200,31.615447,2.467340,1.339421,-33.745521,0
2012-06-14,sh.601628,19.6304704200,19.8825646800,19.3783761600,19.5208642200,19.5975885600,20137139,361662863.0000,1,0.096704,1,-0.391500,31.491673,2.457680,1.334177,-33.613408,0
2012-06-15,sh.601628,19.5099036000,19.9592890200,19.5099036000,19.7839191000,19.5208642200,16189559,292599561.0000,1,0.077746,1,1.347600,31.916042,2.490799,1.352156,-34.066368,0
2012-06-18,sh.601628,19.8606434400,19.9483284000,19.4770217400,19.6414310400,19.7839191000,8140252,146116861.0000,1,0.039092,1,-0.720200,31.686175,2.472860,1.342417,-33.821015,0
2012-06-19,sh.601628,19.6195098000,19.8168009600,19.4770217400,19.5318248400,19.6414310400,5681796,101568469.0000,1,0.027285,1,-0.558000,31.509355,2.459060,1.334926,-33.632281,0
2012-06-20,sh.601628,19.5647067000,19.7619978600,19.5208642200,19.6852735200,19.5318248400,6928259,124406801.0000,1,0.033271,1,0.785600,31.756903,2.478380,1.345414,-33.896508,0
2012-06-21,sh.601628,19.6743129000,19.7071947600,18.8741876400,19.2797305800,19.6852735200,11773782,206958234.0000,1,0.056541,1,-2.060100,31.102669,2.427322,1.317697,-33.198195,0
2012-06-25,sh.601628,19.1701243800,19.2358881000,18.6549752400,18.7865026800,19.2797305800,8916411,153723286.0000,1,0.042819,1,-2.558300,30.306978,2.365224,1.283986,-32.348894,0
2012-06-26,sh.601628,18.6440146200,19.4331792600,18.6440146200,19.2358881000,18.7865026800,12279233,214244422.0000,1,0.058968,1,2.392100,31.031941,2.421802,1.314700,-33.122701,0
2012-06-27,sh.601628,19.2139668600,19.5208642200,19.2139668600,19.3016518200,19.2358881000,7660349,135322402.0000,1,0.036787,1,0.341900,31.138033,2.430082,1.319195,-33.235941,0
2012-06-28,sh.601628,19.3783761600,19.5975885600,19.1591637600,19.3126124400,19.3016518200,10470279,185367789.0000,1,0.050281,1,0.056800,31.155715,2.431462,1.319944,-33.254815,0
2012-06-29,sh.601628,19.2030062400,20.1127377000,19.2030062400,20.0579346000,19.3126124400,16029352,290362797.0000,1,0.076977,1,3.859300,32.358092,2.525298,1.370884,-34.538201,0
2012-07-02,sh.601628,20.1456195600,20.2990682400,19.8058403400,20.1565801800,20.0579346000,12699836,232802214.0000,1,0.060988,1,0.491800,32.517230,2.537717,1.377626,-34.708061,0
2012-07-03,sh.601628,20.1675408000,20.8361386200,20.0250527400,20.4086744400,20.1565801800,18838225,352541115.0000,1,0.090466,1,1.250700,32.923917,2.569456,1.394856,-35.142148,0
2012-07-04,sh.601628,20.4305956800,20.6059656000,20.1675408000,20.3209894800,20.4086744400,7775362,144292658.0000,1,0.037339,1,-0.429600,32.782460,2.558416,1.388863,-34.991161,0
2012-07-05,sh.601628,20.2333045200,20.8251780000,20.0031315000,20.6936505600,20.3209894800,16965539,316343324.0000,1,0.081473,1,1.833900,33.383649,2.605334,1.414333,-35.632855,0
2012-07-06,sh.601628,20.7484536600,21.2197603200,20.0579346000,20.5730837400,20.6936505600,26927768,507362922.0000,1,0.129314,1,-0.582600,33.189147,2.590155,1.406092,-35.425248,0
2012-07-09,sh.601628,20.1675408000,20.5402018800,20.1127377000,20.3867532000,20.5730837400,14536559,270342675.0000,1,0.069808,1,-0.905700,32.888553,2.566696,1.393357,-35.104401,0
2012-07-10,sh.601628,20.1894620400,20.6826899400,20.1236983200,20.4305956800,20.3867532000,11651365,217613260.0000,1,0.055953,1,0.215100,32.959281,2.572216,1.396354,-35.179895,0
2012-07-11,sh.601628,20.3538713400,20.7374930400,20.2771470000,20.7374930400,20.4305956800,13746513,258439836.0000,1,0.066014,1,1.502100,33.454377,2.610854,1.417329,-35.708348,0
2012-07-12,sh.601628,20.6059656000,20.8470992400,19.9812102600,20.2004226600,20.7374930400,19957389,368233231.0000,1,0.095841,1,-2.589900,32.587958,2.543237,1.380622,-34.783555,0
2012-07-13,sh.601628,20.0798558400,20.6607687000,20.0579346000,20.5730837400,20.2004226600,14652509,273301571.0000,1,0.070365,1,1.844800,33.189147,2.590155,1.406092,-35.425248,0
2012-07-16,sh.601628,20.5730837400,20.6498080800,20.1675408000,20.2881076200,20.5730837400,12163836,226102602.0000,1,0.058414,1,-1.385200,32.729414,2.554277,1.386615,-34.934541,0
2012-07-17,sh.601628,20.2552257600,20.8251780000,20.1785014200,20.7155718000,20.2881076200,14187592,266394206.0000,1,0.068133,1,2.107000,33.419013,2.608094,1.415831,-35.670601,0
2012-07-18,sh.601628,20.8251780000,20.8580598600,20.3648319600,20.7594142800,20.7155718000,11544458,218096230.0000,1,0.055439,1,0.211600,33.489741,2.613614,1.418827,-35.746095,0
2012-07-19,sh.601628,20.6388474600,22.3158223200,20.6388474600,21.9212400000,20.7594142800,36937790,728522046.0000,1,0.177385,1,5.596600,35.364035,2.759888,1.498234,-37.746668,0
2012-07-20,sh.601628,21.8116338000,22.1404524000,21.5924214000,21.7897125600,21.9212400000,12256725,244279610.0000,1,0.058860,1,-0.600000,35.151851,2.743329,1.489244,-37.520188,0
2012-07-23,sh.601628,21.5047364400,21.7020276000,21.2636028000,21.3951302400,21.7897125600,10594008,207503394.0000,1,0.050875,1,-1.810900,34.515298,2.693651,1.462276,-36.840748,0
2012-07-24,sh.601628,21.2745634200,21.9212400000,21.2745634200,21.7349094600,21.3951302400,13494941,267767516.0000,1,0.064806,1,1.588100,35.063441,2.736429,1.485499,-37.425821,0
2012-07-25,sh.601628,21.5047364400,21.8773975200,21.3841696200,21.5924214000,21.7349094600,7627611,150973855.0000,1,0.036630,1,-0.655600,34.833575,2.718490,1.475760,-37.180468,0
2012-07-26,sh.601628,21.6253032600,21.7458700800,21.2636028000,21.3622483800,21.5924214000,12384164,242614130.0000,1,0.059472,1,-1.066000,34.462252,2.689511,1.460029,-36.784128,0
2012-07-27,sh.601628,21.4280121000,21.4828152000,20.4086744400,20.7155718000,21.3622483800,11979369,228469837.0000,1,0.057528,1,-3.027200,33.419013,2.608094,1.415831,-35.670601,0
2012-07-30,sh.601628,20.6936505600,20.8580598600,20.0908164600,20.1565801800,20.7155718000,12687203,235422062.0000,1,0.060927,1,-2.698400,32.517230,2.537717,1.377626,-34.708061,0
2012-07-31,sh.601628,20.2004226600,20.8799811000,20.2004226600,20.5511625000,20.1565801800,9678406,181579665.0000,1,0.046478,1,1.957600,33.153783,2.587395,1.404594,-35.387501,0
2012-08-01,sh.601628,20.4963594000,21.0334297800,20.4963594000,20.8909417200,20.5511625000,7815456,148702677.0000,1,0.037532,1,1.653300,33.701925,2.630173,1.427817,-35.972575,0
2012-08-02,sh.601628,20.8799811000,20.9895873000,20.2333045200,20.4634775400,20.8909417200,8698371,162823067.0000,1,0.041772,1,-2.046200,33.012327,2.576356,1.398601,-35.236515,0
2012-08-03,sh.601628,20.5292412600,20.6059656000,20.1236983200,20.5950049800,20.4634775400,9240640,171331734.0000,1,0.044376,1,0.642700,33.224511,2.592915,1.407591,-35.462995,0
2012-08-06,sh.601628,20.3867532000,20.7703749000,20.1456195600,20.6717293200,20.5950049800,10082640,188198561.0000,1,0.048419,1,0.372500,33.348285,2.602575,1.412834,-35.595108,0
2012-08-07,sh.601628,20.4744381600,20.5840443600,20.1785014200,20.2881076200,20.6717293200,9170847,170206062.0000,1,0.044041,1,-1.855800,32.729414,2.554277,1.386615,-34.934541,0
2012-08-08,sh.601628,20.2881076200,20.5730837400,20.2113832800,20.5292412600,20.2881076200,7853667,145858750.0000,1,0.037715,1,1.188500,33.118419,2.584635,1.403096,-35.349755,0
2012-08-09,sh.601628,20.4196350600,20.5402018800,20.1675408000,20.4744381600,20.5292412600,6059402,112677561.0000,1,0.029099,1,-0.267000,33.030009,2.577736,1.399350,-35.255388,0
2012-08-10,sh.601628,20.4963594000,20.8799811000,20.3977138200,20.6717293200,20.4744381600,6895397,130072849.0000,1,0.033113,1,0.963600,33.348285,2.602575,1.412834,-35.595108,0
2012-08-13,sh.601628,20.5511625000,20.5950049800,19.3564549200,19.6195098000,20.6717293200,14517358,264118459.0000,1,0.069716,1,-5.090100,31.650811,2.470100,1.340919,-33.783268,0
2012-08-14,sh.601628,19.6852735200,19.7181553800,19.1262819000,19.4112580200,19.6195098000,12168452,214741698.0000,1,0.058436,1,-1.061500,31.314853,2.443881,1.326686,-33.424675,0
2012-08-15,sh.601628,19.4112580200,19.5647067000,19.2030062400,19.3674155400,19.4112580200,3371976,59676022.0000,1,0.016193,1,-0.225900,31.244125,2.438361,1.323690,-33.349181,0
2012-08-16,sh.601628,19.4002974000,19.4989429800,19.2358881000,19.4222186400,19.3674155400,3385813,59815351.0000,1,0.016260,1,0.283000,31.332535,2.445261,1.327435,-33.443548,0
2012-08-17,sh.601628,19.4331792600,19.4331792600,19.1262819000,19.2687699600,19.4222186400,5578879,97852410.0000,1,0.026791,1,-0.790100,31.084987,2.425942,1.316948,-33.179321,0
2012-08-20,sh.601628,19.0495575600,19.0495575600,18.5782509000,18.7865026800,19.2687699600,10579067,181351355.0000,1,0.050803,1,-2.502800,30.306978,2.365224,1.283986,-32.348894,0
2012-08-21,sh.601628,18.8084239200,19.0385969400,18.7207389600,18.8413057800,18.7865026800,8011163,137893107.0000,1,0.038472,1,0.291700,30.395388,2.372124,1.287732,-32.443261,0
2012-08-22,sh.601628,18.8522664000,18.9618726000,18.6330540000,18.8632270200,18.8413057800,5824701,99963868.0000,1,0.027972,1,0.116300,30.430752,2.374884,1.289230,-32.481008,0
2012-08-23,sh.601628,18.8522664000,18.9837938400,18.6440146200,18.9070695000,18.8632270200,4977315,85640978.0000,1,0.023902,1,0.232400,30.501480,2.380404,1.292227,-32.556501,0
