date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2012-06-11,sz.000969,74.6675952000,75.9204072000,73.7154580800,75.4693948800,73.7154580800,2895103,43299139.1800,1,0.336322,1,2.379300,41.626604,3.890290,2.765547,35.261748,0
2012-06-12,sz.000969,75.4693948800,75.8201822400,74.2165828800,74.8680451200,75.4693948800,2637068,39421787.8300,1,0.306346,1,-0.796800,41.294918,3.859291,2.743510,34.980778,0
2012-06-13,sz.000969,75.2689449600,75.4192824000,74.0161329600,75.2188324800,74.8680451200,5118252,76438678.5100,1,0.594584,1,0.468500,41.488401,3.877374,2.756365,35.144678,0
2012-06-14,sz.000969,74.6675952000,75.1687200000,73.9159080000,74.2165828800,75.2188324800,4376973,65218392.9200,1,0.508470,1,-1.332400,40.935591,3.825710,2.719638,34.676394,0
2012-06-15,sz.000969,74.5673702400,74.9181576000,73.0138833600,73.7655705600,74.2165828800,5214576,76779648.8200,1,0.605774,1,-0.607700,40.686826,3.802461,2.703111,34.465666,0
2012-06-18,sz.000969,74.4170328000,74.6174827200,73.9159080000,74.1664704000,73.7655705600,3120798,46277176.6900,1,0.362541,1,0.543500,40.907950,3.823127,2.717801,34.652980,0
2012-06-19,sz.000969,74.0662454400,74.3669203200,73.3646707200,73.4648956800,74.1664704000,3756545,55187654.1900,1,0.436395,1,-0.945900,40.520983,3.786962,2.692092,34.325181,0
2012-06-20,sz.000969,73.6653456000,74.1664704000,73.5651206400,73.8156830400,73.4648956800,2759909,40691030.5000,1,0.320617,1,0.477500,40.714467,3.805044,2.704947,34.489081,0
2012-06-21,sz.000969,73.9660204800,73.9660204800,72.0116337600,72.0116337600,73.8156830400,3974278,57561204.5400,1,0.461689,1,-2.444000,39.719409,3.712049,2.638838,33.646170,0
2012-06-25,sz.000969,71.6608464000,72.1118587200,69.3055598400,69.6563472000,72.0116337600,5548702,77911317.5900,1,0.644589,1,-3.270700,38.420305,3.590639,2.552530,32.545704,0
2012-06-26,sz.000969,69.6062347200,69.6062347200,67.7520729600,68.9547724800,69.6563472000,3338662,45698604.9000,1,0.387850,1,-1.007200,38.033338,3.554475,2.526821,32.217906,0
