date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2012-06-11,sh.600403,44.7328887200,45.6477099000,44.0794450200,44.8075680000,44.4155017800,628033,15125632.0000,1,0.492702,1,0.882700,15.568140,4.237887,2.052061,40.758884,0
2012-06-12,sh.600403,44.5461905200,44.6955490800,43.6500391600,43.7060486200,44.8075680000,881858,20725421.0000,1,0.691832,1,-2.458300,15.185423,4.133706,2.001615,39.756894,0
2012-06-13,sh.600403,43.7807279000,44.2474734000,42.4365008600,42.9032463600,43.7060486200,3966066,90840737.0000,1,3.111445,1,-1.836800,14.906494,4.057777,1.964849,39.026631,0
2012-06-14,sh.600403,42.7538878000,42.9219161800,41.9137459000,41.9324157200,42.9032463600,1845969,41980328.0000,1,1.448194,1,-2.262800,14.569184,3.965956,1.920387,38.143522,0
2012-06-15,sh.600403,41.8390666200,42.4365008600,41.5776891400,42.0444346400,41.9324157200,873966,19674079.0000,1,0.685641,1,0.267100,14.608105,3.976551,1.925517,38.245419,0
2012-06-18,sh.600403,42.3804914000,42.6792085200,42.0631044600,42.5111801400,42.0444346400,1287139,29269474.0000,1,1.009782,1,1.110100,14.770273,4.020695,1.946893,38.669991,0
2012-06-19,sh.600403,42.5298499600,42.5298499600,41.8577364400,41.9884251800,42.5111801400,697881,15733180.0000,1,0.547499,1,-1.229700,14.588645,3.971253,1.922952,38.194471,0
2012-06-20,sh.600403,41.9697553600,42.3804914000,41.8017269800,41.8203968000,41.9884251800,795746,17933422.0000,1,0.624276,1,-0.400200,14.530264,3.955361,1.915257,38.041625,0
2012-06-21,sh.600403,41.4283305800,41.4283305800,39.7667166000,40.6441981400,41.8203968000,1301990,28288737.0000,1,1.021433,1,-2.812500,14.121600,3.844117,1.861390,36.971704,0
2012-06-25,sh.600403,40.6441981400,40.6441981400,40.6441981400,40.6441981400,40.6441981400,0,0.0000,1,,0,0.000000,14.121600,3.844117,1.861390,36.971704,0
2012-06-26,sh.600403,40.6441981400,40.6441981400,40.6441981400,40.6441981400,40.6441981400,0,0.0000,1,,0,0.000000,14.121600,3.844117,1.861390,36.971704,0
2012-06-27,sh.600403,38.8518954200,39.8227260600,38.6651972200,39.1692823600,40.6441981400,1910981,40168362.0000,1,1.499197,1,-3.628800,13.609149,3.704620,1.793843,35.630057,0
2012-06-28,sh.600403,39.1692823600,39.1692823600,37.0969323400,37.5450080200,39.1692823600,969711,19769613.0000,1,0.760755,1,-4.146800,13.044804,3.550996,1.719456,34.152548,0
2012-06-29,sh.600403,37.5450080200,38.4784990200,36.5928472000,38.4038197400,37.5450080200,898691,18163400.0000,1,0.705038,1,2.287400,13.343193,3.632222,1.758787,34.933760,0
2012-07-02,sh.600403,39.0385936200,39.3186409200,37.7503760400,38.0677629800,38.4038197400,1260044,25975609.0000,1,0.988526,1,-0.875100,13.226432,3.600438,1.743397,34.628068,0
2012-07-03,sh.600403,37.8810647800,38.3664801000,36.9662436000,38.1984517200,38.0677629800,1108298,22456241.0000,1,0.869478,1,0.343300,13.271839,3.612799,1.749382,34.746948,0
2012-07-04,sh.600403,38.3664801000,39.5426787600,38.1984517200,39.0012539800,38.1984517200,1650527,34581243.0000,1,1.294866,1,2.101700,13.550769,3.688728,1.786148,35.477212,0
2012-07-05,sh.600403,38.4598292000,38.7958859600,37.5636778400,38.3478102800,39.0012539800,645890,13158700.0000,1,0.506712,1,-1.675400,13.323733,3.626925,1.756222,34.882811,0
2012-07-06,sh.600403,38.6091877600,38.9079048800,37.4889985600,38.8892350600,38.3478102800,627006,12835117.0000,1,0.491897,1,1.411900,13.511848,3.678133,1.781018,35.375314,0
2012-07-09,sh.600403,38.4411593800,38.4411593800,37.3956494600,37.3956494600,38.8892350600,1047236,21251247.0000,1,0.821574,1,-3.840600,12.992910,3.536870,1.712616,34.016685,0
2012-07-10,sh.600403,37.4143192800,37.8437251400,36.1074318800,36.3127999000,37.3956494600,613098,12149769.0000,1,0.480986,1,-2.895700,12.616680,3.434454,1.663025,33.031679,0
2012-07-11,sh.600403,36.3127999000,37.1902814400,36.1821111600,37.0035832400,36.3127999000,1072657,21127967.0000,1,0.841517,1,1.902300,12.856689,3.499788,1.694661,33.660045,0
2012-07-12,sh.600403,37.0035832400,39.9534148000,36.8168850400,39.2813012800,37.0035832400,2183918,45463446.0000,1,1.713320,1,6.155400,13.648069,3.715214,1.798974,35.731955,0
2012-07-13,sh.600403,38.6651972200,39.5613485800,38.4971688400,38.9825841600,39.2813012800,1776420,37046888.0000,1,1.393631,1,-0.760500,13.544282,3.686962,1.785293,35.460229,0
2012-07-16,sh.600403,38.9265747000,39.0199238000,37.2649607200,37.6943665800,38.9825841600,1127976,22999443.0000,1,0.884916,1,-3.304600,13.096698,3.565122,1.726296,34.288411,0
2012-07-17,sh.600403,37.8250553200,38.2171215400,37.3023003600,38.1797819000,37.6943665800,1107207,22512760.0000,1,0.868622,1,1.287800,13.265353,3.611033,1.748527,34.729965,0
2012-07-18,sh.600403,38.0864328000,38.4224895600,37.0969323400,38.3664801000,38.1797819000,1183001,23968132.0000,1,0.928084,1,0.489000,13.330220,3.628691,1.757077,34.899794,0
2012-07-19,sh.600403,38.1237724400,40.4574999400,38.0304233400,39.2626314600,38.3664801000,2126986,44673631.0000,1,1.668656,1,2.335800,13.641583,3.713449,1.798119,35.714972,0
2012-07-20,sh.600403,39.6733675000,39.6733675000,37.7877156800,38.3291404600,39.2626314600,1171506,24273133.0000,1,0.919066,1,-2.377600,13.317246,3.625159,1.755367,34.865828,0
2012-07-23,sh.600403,37.7877156800,38.2171215400,37.0409228800,37.7690458600,38.3291404600,822979,16611473.0000,1,0.645641,1,-1.461300,13.122645,3.572186,1.729717,34.356342,0
2012-07-24,sh.600403,37.5263382000,38.4784990200,37.0035832400,38.0864328000,37.7690458600,882951,17982003.0000,1,0.692690,1,0.840300,13.232919,3.602204,1.744252,34.645051,0
2012-07-25,sh.600403,37.6383571200,38.3664801000,37.6383571200,37.9744138800,38.0864328000,968015,19725278.0000,1,0.759424,1,-0.294100,13.193999,3.591609,1.739122,34.543154,0
2012-07-26,sh.600403,38.3851499200,38.8705652400,37.4889985600,38.2918008200,37.9744138800,1065560,21878791.0000,1,0.835950,1,0.835800,13.304273,3.621628,1.753657,34.831863,0
2012-07-27,sh.600403,38.4411593800,39.5800184000,38.0304233400,39.3373107400,38.2918008200,1757685,36763126.0000,1,1.378933,1,2.730400,13.667530,3.720512,1.801539,35.782903,0
2012-07-30,sh.600403,39.5426787600,40.1401130000,38.8705652400,39.5240089400,39.3373107400,1082911,22928163.0000,1,0.849562,1,0.474600,13.732397,3.738170,1.810089,35.952732,0
2012-07-31,sh.600403,39.3746503800,39.5426787600,37.7130364000,38.4784990200,39.5240089400,846790,17473525.0000,1,0.664321,1,-2.645300,13.369140,3.639285,1.762208,35.001691,0
2012-08-01,sh.600403,38.4784990200,39.5800184000,38.1051026200,39.3933202000,38.4784990200,1062846,22295761.0000,1,0.833821,1,2.377500,13.686990,3.725809,1.804104,35.833852,0
2012-08-02,sh.600403,39.1879521800,39.3559805600,38.3291404600,38.7025368600,39.3933202000,931998,19352452.0000,1,0.731168,1,-1.753600,13.446981,3.660475,1.772468,35.205486,0
2012-08-03,sh.600403,38.6465274000,39.1879521800,37.9184044200,39.1506125400,38.7025368600,1161546,24011086.0000,1,0.911252,1,1.157700,13.602662,3.702854,1.792988,35.613075,0
2012-08-06,sh.600403,39.0572634400,40.9802549000,38.7585463200,40.5881886800,39.1506125400,2482758,52973556.0000,1,1.947765,1,3.671900,14.102140,3.838819,1.858825,36.920755,0
2012-08-07,sh.600403,40.4201603000,40.8869058000,39.9720846200,40.7375472400,40.5881886800,1377903,29879821.0000,1,1.080988,1,0.368000,14.154034,3.852946,1.865666,37.056618,0
2012-08-08,sh.600403,41.0736040000,41.9697553600,40.6441981400,41.2603022000,40.7375472400,2290373,50736789.0000,1,1.796836,1,1.283200,15.675928,3.555269,1.854846,-15.710675,0
2012-08-09,sh.600403,41.0922738200,41.7643873400,40.2894715600,41.6150287800,41.2603022000,1610565,35459428.0000,1,1.263515,1,0.859700,15.810698,3.585835,1.870793,-15.845744,0
2012-08-10,sh.600403,41.5776891400,42.3431517600,41.1296134600,42.2498026600,41.6150287800,1666778,37259555.0000,1,1.307615,1,1.525300,16.051866,3.640531,1.899329,-16.087447,0
2012-08-13,sh.600403,42.3618215800,42.4738405000,40.7375472400,40.8122265200,42.2498026600,2241023,50362057.0000,1,1.758120,1,-3.402600,15.505691,3.516660,1.834703,-15.540062,0
2012-08-14,sh.600403,40.5321792200,42.0070950000,40.4388301200,41.7643873400,40.8122265200,1902821,42224206.0000,1,1.492795,1,2.333000,15.867444,3.598705,1.877507,-15.902616,0
2012-08-15,sh.600403,41.7643873400,41.8017269800,40.9055756200,41.1296134600,41.7643873400,904435,19981989.0000,1,0.709544,1,-1.519900,15.626275,3.544008,1.848971,-15.660913,0
2012-08-16,sh.600403,41.0736040000,42.1937932000,40.3268112000,41.0922738200,41.1296134600,1039058,22952058.0000,1,0.815158,1,-0.090800,15.612089,3.540791,1.847292,-15.646695,0
2012-08-17,sh.600403,40.6815377800,41.4470004000,40.4388301200,41.3163116600,41.0922738200,805607,17691631.0000,1,0.632012,1,0.545200,15.697207,3.560095,1.857364,-15.732002,0
2012-08-20,sh.600403,40.5695188600,41.3536513000,40.5321792200,41.3163116600,41.3163116600,736829,16245199.0000,1,0.578055,1,0.000000,15.697207,3.560095,1.857364,-15.732002,0
2012-08-21,sh.600403,40.8122265200,42.0631044600,40.8122265200,41.8017269800,41.3163116600,1368855,30510646.0000,1,1.073890,1,1.174900,15.881630,3.601922,1.879186,-15.916833,0
2012-08-22,sh.600403,41.7830571600,41.8017269800,39.9907544400,40.4574999400,41.8017269800,1134316,24898822.0000,1,0.889890,1,-3.215700,15.370921,3.486094,1.818756,-15.404992,0
