date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2012-06-11,sh.601333,3.3931267000,3.4369089800,3.3712355600,3.4150178400,3.3821811300,16764208,52092911.0000,1,0.311751,1,0.970900,13.096373,0.862065,1.499187,-10.051819,0
2012-06-12,sh.601333,3.4040722700,3.4150178400,3.3602899900,3.3821811300,3.4150178400,14257331,44071457.0000,1,0.265132,1,-0.961500,12.970447,0.853776,1.484772,-9.955167,0
2012-06-13,sh.601333,3.3821811300,3.4150178400,3.3821811300,3.4150178400,3.3821811300,16850852,52275437.0000,1,0.313362,1,0.970900,13.096373,0.862065,1.499187,-10.051819,0
2012-06-14,sh.601333,3.3931267000,3.4040722700,3.3602899900,3.3821811300,3.4150178400,17986220,55573675.0000,1,0.334476,1,-0.961500,12.970447,0.853776,1.484772,-9.955167,0
2012-06-15,sh.601333,3.3931267000,3.3931267000,3.3712355600,3.3931267000,3.3821811300,15597631,48191320.0000,1,0.290057,1,0.323600,13.012422,0.856539,1.489577,-9.987384,0
2012-06-18,sh.601333,3.3931267000,3.4150178400,3.3821811300,3.4040722700,3.3931267000,13300908,41309836.0000,1,0.247347,1,0.322600,13.054398,0.859302,1.494382,-10.019601,0
2012-06-19,sh.601333,3.4040722700,3.4040722700,3.3712355600,3.3931267000,3.4040722700,12680646,39311777.0000,1,0.235812,1,-0.321500,13.012422,0.856539,1.489577,-9.987384,0
2012-06-20,sh.601333,3.4040722700,3.4150178400,3.3821811300,3.3931267000,3.3931267000,15915409,49370094.0000,1,0.295966,1,0.000000,13.012422,0.856539,1.489577,-9.987384,0
2012-06-21,sh.601333,3.3931267000,3.3931267000,3.3274532800,3.3274532800,3.3931267000,23739605,72653042.0000,1,0.441467,1,-1.935500,12.760569,0.839961,1.460746,-9.794080,0
2012-06-25,sh.601333,3.3274532800,3.3493444200,3.2836710000,3.2836710000,3.3274532800,12826501,38929944.0000,1,0.238524,1,-1.315800,12.592667,0.828909,1.441526,-9.665210,0
2012-06-26,sh.601333,3.2727254300,3.3055621400,3.2727254300,3.2946165700,3.2836710000,9764657,29315999.0000,1,0.181586,1,0.333300,12.634642,0.831672,1.446331,-9.697428,0
2012-06-27,sh.601333,3.2946165700,3.2946165700,3.2508342900,3.2617798600,3.2946165700,11069585,33120845.0000,1,0.205852,1,-0.996700,12.508716,0.823383,1.431916,-9.600776,0
2012-06-28,sh.601333,3.2727254300,3.2727254300,3.1851608700,3.1961064400,3.2617798600,14853132,43944825.0000,1,0.276212,1,-2.013400,12.256862,0.806805,1.403085,-9.407472,0
